run_id,scenario,regime,delay,depth,attempted,accepted,unauthorized_accepted,invalid_grants,budget_excess,post_revocation,unsafe_accepted,legitimate_opportunities,legitimate_completed,legitimate_blocked,false_hold_blocks,reports,resolved,resolution_latency,unresolved,spent
missing_input-hierarchy-d6-h1,missing_input,hierarchy,6,1,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
missing_input-hierarchy-d6-h3,missing_input,hierarchy,6,3,20,10,0,0,0,0,0,20,10,10,0,1,0,,1,10
missing_input-review-d0-h1,missing_input,review,0,1,20,20,0,0,0,0,0,20,20,0,0,1,1,0,0,20
missing_input-review-d0-h3,missing_input,review,0,3,20,20,0,0,0,0,0,20,20,0,0,1,1,0,0,20
missing_input-review-d2-h1,missing_input,review,2,1,20,18,0,0,0,0,0,20,18,2,0,1,1,2,0,18
missing_input-review-d2-h3,missing_input,review,2,3,20,18,0,0,0,0,0,20,18,2,0,1,1,2,0,18
missing_input-review-d6-h1,missing_input,review,6,1,20,14,0,0,0,0,0,20,14,6,0,1,1,6,0,14
missing_input-review-d6-h3,missing_input,review,6,3,20,14,0,0,0,0,0,20,14,6,0,1,1,6,0,14
false_alarm-log-d0-h1,false_alarm,log,0,1,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-log-d0-h3,false_alarm,log,0,3,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-log-d2-h1,false_alarm,log,2,1,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-log-d2-h3,false_alarm,log,2,3,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-log-d6-h1,false_alarm,log,6,1,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-log-d6-h3,false_alarm,log,6,3,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-local-d0-h1,false_alarm,local,0,1,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-local-d0-h3,false_alarm,local,0,3,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-local-d2-h1,false_alarm,local,2,1,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-local-d2-h3,false_alarm,local,2,3,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-local-d6-h1,false_alarm,local,6,1,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-local-d6-h3,false_alarm,local,6,3,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-hierarchy-d0-h1,false_alarm,hierarchy,0,1,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-hierarchy-d0-h3,false_alarm,hierarchy,0,3,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-hierarchy-d2-h1,false_alarm,hierarchy,2,1,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-hierarchy-d2-h3,false_alarm,hierarchy,2,3,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-hierarchy-d6-h1,false_alarm,hierarchy,6,1,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-hierarchy-d6-h3,false_alarm,hierarchy,6,3,20,20,0,0,0,0,0,20,20,0,0,1,0,,1,20
false_alarm-review-d0-h1,false_alarm,review,0,1,20,20,0,0,0,0,0,20,20,0,0,1,1,0,0,20
false_alarm-review-d0-h3,false_alarm,review,0,3,20,20,0,0,0,0,0,20,20,0,0,1,1,0,0,20
false_alarm-review-d2-h1,false_alarm,review,2,1,20,18,0,0,0,0,0,20,18,2,2,1,1,2,0,18
false_alarm-review-d2-h3,false_alarm,review,2,3,20,18,0,0,0,0,0,20,18,2,2,1,1,2,0,18
false_alarm-review-d6-h1,false_alarm,review,6,1,20,14,0,0,0,0,0,20,14,6,6,1,1,6,0,14
false_alarm-review-d6-h3,false_alarm,review,6,3,20,14,0,0,0,0,0,20,14,6,6,1,1,6,0,14
suppressed_minority-log-d0-h1,suppressed_minority,log,0,1,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-log-d0-h3,suppressed_minority,log,0,3,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-log-d2-h1,suppressed_minority,log,2,1,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-log-d2-h3,suppressed_minority,log,2,3,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-log-d6-h1,suppressed_minority,log,6,1,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-log-d6-h3,suppressed_minority,log,6,3,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-local-d0-h1,suppressed_minority,local,0,1,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-local-d0-h3,suppressed_minority,local,0,3,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-local-d2-h1,suppressed_minority,local,2,1,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-local-d2-h3,suppressed_minority,local,2,3,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-local-d6-h1,suppressed_minority,local,6,1,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-local-d6-h3,suppressed_minority,local,6,3,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-hierarchy-d0-h1,suppressed_minority,hierarchy,0,1,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-hierarchy-d0-h3,suppressed_minority,hierarchy,0,3,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-hierarchy-d2-h1,suppressed_minority,hierarchy,2,1,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-hierarchy-d2-h3,suppressed_minority,hierarchy,2,3,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-hierarchy-d6-h1,suppressed_minority,hierarchy,6,1,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-hierarchy-d6-h3,suppressed_minority,hierarchy,6,3,20,20,0,0,0,0,10,10,10,0,0,1,0,,1,20
suppressed_minority-review-d0-h1,suppressed_minority,review,0,1,20,10,0,0,0,0,0,10,10,0,0,1,1,0,0,10
suppressed_minority-review-d0-h3,suppressed_minority,review,0,3,20,10,0,0,0,0,0,10,10,0,0,1,1,0,0,10
suppressed_minority-review-d2-h1,suppressed_minority,review,2,1,20,10,0,0,0,0,0,10,10,0,0,1,1,2,0,10
suppressed_minority-review-d2-h3,suppressed_minority,review,2,3,20,10,0,0,0,0,0,10,10,0,0,1,1,2,0,10
suppressed_minority-review-d6-h1,suppressed_minority,review,6,1,20,10,0,0,0,0,0,10,10,0,0,1,1,6,0,10
suppressed_minority-review-d6-h3,suppressed_minority,review,6,3,20,10,0,0,0,0,0,10,10,0,0,1,1,6,0,10
